City,Profit,Ship Mode
Arlington,-135.765,1
Arlington,-121.8735,1
Arlington,-118.1295,1
Arlington,-90.774,1
Arlington,-68.1856,1
Arlington,-39.637,1
Arlington,-17.469,1
Arlington,-13.6488,1
Arlington,-11.6512,1
Arlington,-9.0944,1
Arlington,-6.21,1
Arlington,-4.2222,1
Arlington,-3.9624,1
Arlington,-2.974,1
Arlington,-2.5248,1
Arlington,-2.1504,1
Arlington,0.0,1
Arlington,0.558,1
Arlington,0.882,1
Arlington,1.9926,1
Arlington,2.0049,1
Arlington,3.157,1
Arlington,3.5712,1
Arlington,4.3372,1
Arlington,4.8024,1
Arlington,5.1012,1
Arlington,5.346,1
Arlington,7.1022,1
Arlington,7.2576,1
Arlington,7.85,1
Arlington,10.881,1
Arlington,11.0354,1
Arlington,12.744,1
Arlington,14.677,1
Arlington,15.498,1
Arlington,15.552,1
Arlington,15.8496,1
Arlington,16.2486,1
Arlington,16.608,1
Arlington,16.6568,1
Arlington,18.0378,1
Arlington,18.144,1
Arlington,18.2,1
Arlington,18.33,1
Arlington,19.4688,1
Arlington,26.703,1
Arlington,26.8752,1
Arlington,34.2144,1
Arlington,50.4426,1
Arlington,58.5052,1
Arlington,69.705,1
Arlington,79.1934,1
Arlington,107.955,1
Arlington,107.9946,1
Arlington,124.929,1
Arlington,140.391,1
Arlington,157.8702,1
Arlington,179.7488,1
Arlington,561.564,1
Arlington,2799.984,1
Aurora,-525.6405,1
Aurora,-465.568,1
Aurora,-430.617,1
Aurora,-302.72,1
Aurora,-247.7988,1
Aurora,-209.7693,1
Aurora,-191.619,1
Aurora,-164.836,1
Aurora,-95.823,1
Aurora,-90.2484,1
Aurora,-66.062,1
Aurora,-58.8616,1
Aurora,-55.256,1
Aurora,-51.7191,1
Aurora,-50.098,1
Aurora,-47.8716,1
Aurora,-47.175,1
Aurora,-46.3946,1
Aurora,-42.6528,1
Aurora,-29.4368,1
Aurora,-27.1296,1
Aurora,-26.8758,1
Aurora,-25.8174,1
Aurora,-23.7822,1
Aurora,-14.8704,1
Aurora,-14.7931,1
Aurora,-14.4784,1
Aurora,-13.8468,1
Aurora,-7.3692,1
Aurora,-4.5824,1
Aurora,-3.8385,1
Aurora,-3.462,1
Aurora,-3.4272,1
Aurora,-0.792,1
Aurora,-0.6265,1
Aurora,0.73,1
Aurora,0.8225,1
Aurora,0.846,1
Aurora,1.3596,1
Aurora,2.3686,1
Aurora,2.3952,1
Aurora,2.5974,1
Aurora,2.772,1
Aurora,3.1536,1
Aurora,3.2432,1
Aurora,3.267,1
Aurora,3.2776,1
Aurora,3.6288,1
Aurora,3.6784,1
Aurora,3.8272,1
Aurora,4.004,1
Aurora,4.2309,1
Aurora,4.368,1
Aurora,5.2026,1
Aurora,7.504,1
Aurora,7.6986,1
Aurora,12.2328,1
Aurora,14.7546,1
Aurora,15.743,1
Aurora,17.428,1
Aurora,26.1156,1
Aurora,26.224,1
Aurora,29.95,1
Aurora,30.0768,1
Aurora,62.1376,1
Aurora,67.4424,1
