Region,Profit,City
Central,-3701.8928,1
Central,-2929.4845,1
Central,-2287.782,1
Central,-1850.9464,1
Central,-1480.0335,1
Central,-1359.992,1
Central,-1181.2824,1
Central,-1143.891,1
Central,-1141.47,1
Central,-786.0144,1
Central,-766.012,1
Central,-729.9138,1
Central,-566.5625,1
Central,-538.446,1
Central,-533.7325,1
Central,-525.6405,1
Central,-512.1468,1
Central,-509.997,1
Central,-470.548,1
Central,-459.6072,1
Central,-453.849,1
Central,-437.5404,1
Central,-430.617,1
Central,-427.45,1
Central,-426.986,1
Central,-417.0936,1
Central,-407.682,1
Central,-393.602,1
Central,-378.4,1
Central,-356.728,1
Central,-350.49,1
Central,-348.6294,1
Central,-336.6272,1
Central,-320.2395,2
Central,-317.1528,1
Central,-312.0614,1
Central,-302.72,1
Central,-300.735,1
Central,-292.9872,1
Central,-269.3376,1
Central,-263.9967,1
Central,-251.9958,1
Central,-251.1864,1
Central,-243.16,1
Central,-226.6368,1
Central,-225.5568,1
Central,-225.0976,2
Central,-209.7693,1
Central,-199.77,1
Central,-197.5752,1
Central,-194.824,1
Central,-191.619,1
Central,-187.3815,1
Central,-186.5682,1
Central,-184.8366,1
Central,-182.352,1
Central,-179.776,1
Central,-178.9668,1
Central,-178.8468,1
Central,-175.26,1
Central,-173.3472,1
Central,-172.7328,1
Central,-172.557,1
Central,-172.1172,1
Central,-169.637,1
Central,-166.3935,1
Central,-166.32,1
Central,-164.836,1
Central,-163.5767,1
Central,-160.96,1
Central,-160.2952,1
Central,-153.2024,1
Central,-152.7156,1
Central,-150.414,1
Central,-147.963,1
Central,-146.16,1
Central,-145.176,1
Central,-143.431,1
Central,-140.196,1
Central,-137.976,1
Central,-136.4895,1
Central,-135.765,1
Central,-131.951,1
Central,-131.7168,1
Central,-131.445,1
Central,-131.12,1
Central,-127.5792,1
Central,-127.372,1
Central,-126.8592,1
Central,-126.4816,1
Central,-125.766,1
Central,-123.858,1
Central,-121.8735,1
Central,-121.58,1
